id,scene_id,character,text,choices,item_gain,item_required
H03,H03,博士,「時間なんて、削って組み直せばいいんだ...ついに来訪者か」,あなたが時間を乱しているのか;調査に来たと告げる,,
H04,H04,博士,「時間の乱れ？ああ、それは副作用さ。私は時間を修復しようとしているんだ...壊れた時間を」,どういう意味？;管理人は違うことを言っていた,,
H05,H05,博士,「5年前...事故で妻を失った。彼女がいなくなった日から、この街の時間は狂い始めたんだ」,同情する;それは偶然では？,,
H06,H06,博士,「偶然じゃない...彼女は時間の守護者だった。彼女がいなくなり、時間が壊れ始めた。私はそれを修復するために『時計仕掛けの心臓』を作ったんだ」,本当に修復できるのか;過去を変えたいだけでは？,,
H07,H07,博士,「確かに...彼女を救いたい気持ちもある。だが、それ以上に街の時間を元に戻したいんだ。手伝ってくれないか？」,協力する;断る,,
I01,I01,博士,「感謝する！では、『時間の欠片』を探してほしい。それなしでは心臓は動かない」,どこにある？;何のために必要なの？,,
I02,I02,博士,「屋上に...ある装置に接続されている。周波数ダイヤルがあれば、その場所を特定できるはずだ」,屋上へ向かう,,frequency_dial
I03,I03,ナレーター,研究室を出て、屋上への階段を探した。途中、時間の歪みが強くなり、同じ場所を何度も通っているような錯覚に陥る。,歯車の猫を使ってみる;周波数ダイヤルを使う,,gear_cat
I04,I04,ナレーター,歯車の猫を床に置くと、猫は動き出し、正しい道を示した。,猫について行く,,
I05,I05,ナレーター,猫は複雑な階段を登り、ついに屋上への扉の前で止まった。,扉を開ける,,
I06,I06,ナレーター,屋上には奇妙な機械が設置されていた。中央にはガラスの容器があり、その中で何かが光っている。,周波数ダイヤルを使う;機械を直接調べる,,frequency_dial
I07,I07,ナレーター,周波数ダイヤルを機械に接続すると、特定の周波数で共鳴し始めた。ガラスの容器が開き、中から「時間の欠片」が取り出せるようになった。,時間の欠片を取る,time_piece,
I08,I08,ナレーター,「時間の欠片」を手に入れた。ガラスの中で砂時計のように時間が流れているように見える。,博士のもとへ戻る;他に探索する,,
I09,I09,ナレーター,突然、管理人が現れた。,話を聞く,,
I10,I10,管理人,「それを博士に渡せば、全てが終わる。彼は過去を変え、この街を消してしまう。」,本当か？;博士は時間を修復すると言っていた,,
I11,I11,管理人,「博士の言う『修復』とは、彼の妻が死んだ事故を無かったことにすること。だがそれは時間の流れを変え、私たちの存在を消してしまう」,どうすればいい？;欠片を渡すつもりだ,,
I12,I12,管理人,「時間の欠片を使って、時計仕掛けの心臓を止めるんだ。時間の乱れは残るが、この街は存続する」,考えてみる;博士を信じる,,
J01,J01,ナレーター,博士の研究室に戻った。中央の装置「時計仕掛けの心臓」が待機している。,博士に欠片を渡す;もう少し考える,,
J02,J02,博士,「見つけたか！これで時間を修復できる...さあ、欠片を心臓に設置するんだ」,欠片を心臓に取り付ける;本当に街を救うのか確認する,,time_piece
J03,J03,博士,「もちろんだ...時間を修復すれば、全てが正常に戻る。私の妻も...そして街も」,欠片を渡す;管理人の話を伝える,,
J04,J04,博士,「管理人？彼は私を止めようとしている...時間の修復を恐れているんだ。過去の修復は必要なことだ」,欠片を渡す;別の方法はないのか尋ねる,,
J05,J05,博士,「別の方法？...そうだな。確かに別の使い方もある。時間の欠片を使えば、時間の乱れを安定させることもできる。だが、妻は戻らない」,安定させる方法を選ぶ;過去を変える方法を選ぶ,,
K01,K01,博士,「分かった...理解できる。では時間を安定させよう」,一緒に作業する,,time_piece
K02,K02,ナレーター,博士と協力して、時間の欠片を特殊な設定で心臓に接続した。装置が始動し、部屋中の時計が同期し始める。,次へ進む,,
K03,K03,博士,「これで時間の乱れは安定する...妻は戻らないが、九龍城は救われる。君の選択に感謝する」,これからどうなる？,,
K04,K04,博士,「私は引き続きこの装置を監視し、時間の安定を保つ。君は...九龍城の新たな時間の守護者となるんだ」,役目を受け入れる,,
K05,K05,ナレーター,こうして九龍城の時間は安定を取り戻した。博士は過去への執着を手放し、あなたは新たな時間の守護者として街を見守ることになった。【エンディング：時間の守護者】,最初から,,
L01,L01,博士,「ありがとう...これで全てを元に戻せる。妻を、そして時間を」,装置を起動する,,time_piece
L02,L02,ナレーター,時間の欠片が心臓に接続され、装置が始動した。部屋中の時計が逆回りし始め、現実が揺らぐ感覚がする。,次へ進む,,
L03,L03,博士,「働いている！過去が変わる...彼女が戻ってくる！」,様子を見守る,,
L04,L04,ナレーター,しかし装置が制御不能になり、時間の流れが乱れ始めた。建物が揺れ、現実が歪む。,装置を止めようとする;逃げる,,
L05,L05,博士,「止まらない...制御できない！時間が崩壊する！」,博士を連れて逃げる;一人で逃げる,,
L06,L06,ナレーター,あなたは博士の腕を掴み、揺れる建物から脱出しようとした。しかし、時間の歪みが強まり、街全体が時間の狭間に飲み込まれていく。,次へ進む,,
L07,L07,ナレーター,気がつくと、九龍城は消え、あなたと博士は何もない空間に立っていた。過去を変えようとした代償として、現在が消えてしまったのだ。【エンディング：時間の狭間】,最初から,,
M01,M01,ナレーター,管理人の警告を思い出し、時間の欠片を装置から遠ざけることにした。,装置を破壊する,,time_piece
M02,M02,博士,「何をする！？やめろ！時間を修復しなければ！」,説得を試みる;構わず破壊する,,
M03,M03,ナレーター,あなたは時計仕掛けの心臓を破壊した。装置からスチームと歯車が飛び散り、研究室中の時計が一斉に止まった。,次へ進む,,
M04,M04,博士,「何てことを...」博士は膝から崩れ落ちた。「彼女は永遠に戻らない...」,慰める;管理人を呼ぶ,,
M05,M05,管理人,「正しい選択をした。過去は変えられない。だが未来は作れる」,これからどうなる？,,
M06,M06,管理人,「時間の乱れは徐々に治まるだろう。新たな守護者が現れるまでは...私たちで時間を見守らねばならない」,役目を受け入れる,,
M07,M07,ナレーター,こうして時計仕掛けの心臓は止まり、九龍城は消滅を免れた。時間の乱れは残ったが、街は存続し、あなたと管理人は新たな時間の管理者として見守ることになった。【エンディング：時間の管理者】,最初から,,
N01,N01,ナレーター,時間の欠片を手に、あなたは別の可能性を考え始めた。時間の欠片から力を感じる。,欠片の力を自分に取り込む,,time_piece
N02,N02,ナレーター,時間の欠片をあなたの胸に当てると、不思議な力が体中に広がった。時間の流れが見え、操れるような感覚がする。,力を受け入れる,,
N03,N03,ナレーター,あなたは時間の守護者となった。過去も未来も見通し、街の時間を守る力を得たのだ。,博士のもとへ戻る,,
N04,N04,博士,「君が...時間の欠片を？そして、その目...守護者の目だ！」,私が街を守る;妻のことを教えて,,
N05,N05,博士,「そうか...彼女も同じ目をしていた。彼女は時間の守護者だった...そして今は君が」,時間を正しい流れに戻す,,
N06,N06,ナレーター,あなたは新たな力を使い、時間の乱れを修復し始めた。博士は装置を止め、あなたを手伝う。,次へ進む,,
N07,N07,ナレーター,九龍城の時間は正常に戻り始め、あなたは新たな時間の守護者として街を見守ることになった。過去は変えられないが、未来を守ることはできるのだ。【秘密エンディング：時間の守護者】,最初から,,
