from_id,condition_type,condition_value,to_id,item_required
G04,choice,機械式眼球を使う,G05,mechanical_eye
G04,choice,前進を続ける,G04,
G05,choice,扉を開ける,G06,
G06,choice,進む,G07,
G07,choice,追いかける,G08,
G08,choice,何の届け物？,G09,
G08,choice,あなたは誰？,G09,
G09,choice,博士のところに連れて行って,G10,
G09,choice,何が危険なの？,G10,
G10,choice,歯車の猫を受け取る,G11,
G11,choice,博士の研究室はどこ？,G12,
G12,choice,猫について行く,H01,
H01,choice,中に入る,H02,
H01,choice,少し様子を見る,H02,
H02,choice,装置を調べる,H03,
H02,choice,周囲を見回す,H03,
H03,choice,あなたが時間を乱しているのか,H04,
H03,choice,調査に来たと告げる,H04,
H04,choice,どういう意味？,H05,
H04,choice,管理人は違うことを言っていた,H05,
H05,choice,同情する,H06,
H05,choice,それは偶然では？,H06,
H06,choice,本当に修復できるのか,H07,
H06,choice,過去を変えたいだけでは？,H07,
H07,choice,協力する,I01,
H07,choice,断る,M01,
I01,choice,どこにある？,I02,
I01,choice,何のために必要なの？,I02,
I02,choice,屋上へ向かう,I03,
I03,choice,歯車の猫を使ってみる,I04,gear_cat
I03,choice,周波数ダイヤルを使う,I04,
I04,choice,猫について行く,I05,
I05,choice,扉を開ける,I06,
I06,choice,周波数ダイヤルを使う,I07,frequency_dial
I06,choice,機械を直接調べる,I06,
I07,choice,時間の欠片を取る,I08,
I08,choice,博士のもとへ戻る,J01,
I08,choice,他に探索する,I09,
I09,choice,話を聞く,I10,
I10,choice,本当か？,I11,
I10,choice,博士は時間を修復すると言っていた,I11,
I11,choice,どうすればいい？,I12,
I11,choice,欠片を渡すつもりだ,J01,
I12,choice,考えてみる,J01,
I12,choice,博士を信じる,J01,
J01,choice,博士に欠片を渡す,J02,
J01,choice,もう少し考える,J01,
J02,choice,欠片を心臓に取り付ける,L01,
J02,choice,本当に街を救うのか確認する,J03,
J03,choice,欠片を渡す,L01,
J03,choice,管理人の話を伝える,J04,
J04,choice,欠片を渡す,L01,
J04,choice,別の方法はないのか尋ねる,J05,
J05,choice,安定させる方法を選ぶ,K01,
J05,choice,過去を変える方法を選ぶ,L01,
K01,choice,一緒に作業する,K02,
K02,choice,次へ進む,K03,
K03,choice,これからどうなる？,K04,
K04,choice,役目を受け入れる,K05,
K05,choice,最初から,A01,
L01,choice,装置を起動する,L02,
L02,choice,次へ進む,L03,
L03,choice,様子を見守る,L04,
L04,choice,装置を止めようとする,L05,
L04,choice,逃げる,L05,
L05,choice,博士を連れて逃げる,L06,
L05,choice,一人で逃げる,L06,
L06,choice,次へ進む,L07,
L07,choice,最初から,A01,
M01,choice,装置を破壊する,M02,
M02,choice,説得を試みる,M03,
M02,choice,構わず破壊する,M03,
M03,choice,次へ進む,M04,
M04,choice,慰める,M05,
M04,choice,管理人を呼ぶ,M05,
M05,choice,これからどうなる？,M06,
M06,choice,役目を受け入れる,M07,
M07,choice,最初から,A01,
N01,choice,欠片の力を自分に取り込む,N02,
N02,choice,力を受け入れる,N03,
N03,choice,博士のもとへ戻る,N04,
N04,choice,私が街を守る,N05,
N04,choice,妻のことを教えて,N05,
N05,choice,時間を正しい流れに戻す,N06,
N06,choice,次へ進む,N07,
N07,choice,最初から,A01,
